Date : 2025-03-14 23:17:19
Directory : /Users/willgunter/projects/Gamefied-Study-Tool/backend
Total : 69 files,  5165 codes, 795 comments, 1303 blanks, all 7263 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/b181e191204f_.py                  | Python           |        112 |          5 |          9 |        126 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/b7f83ec6f8f2_.py                  | Python           |         24 |          5 |          9 |         38 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/ba8819a34f40_.py                  | Python           |         17 |          5 |         11 |         33 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/c1a09d011674_.py                  | Python           |         30 |          5 |         10 |         45 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/f0919ba3c71b_.py                  | Python           |         26 |          5 |         12 |         43 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/f396a58e8fdd_.py                  | Python           |         17 |          5 |         11 |         33 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/versions/ffbba5ee324c_check_constrainst.py | Python           |         37 |          8 |         13 |         58 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/openapi.py                                            | Python           |        222 |         18 |         44 |        284 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/rag.py                                                | Python           |         87 |          1 |         22 |        110 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/requirements.txt                                      | pip requirements |         51 |          0 |          1 |         52 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/roles.py                                              | Python           |         16 |          1 |          9 |         26 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/admin_routes.py                                | Python           |         18 |          1 |          5 |         24 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/auth_routes.py                                 | Python           |        107 |         47 |         27 |        181 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/chat_routes.py                                 | Python           |        119 |          4 |         23 |        146 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/feedback_routes.py                             | Python           |         54 |          2 |         15 |         71 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/graph_routes.py                                | Python           |         57 |          0 |          8 |         65 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/library_routes.py                              | Python           |        282 |         58 |         80 |        420 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/profile_routes.py                              | Python           |         43 |         22 |         14 |         79 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/routes/utility_routes.py                              | Python           |         30 |          1 |          9 |         40 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/services/vision_api.py                                | Python           |          0 |          1 |          0 |          1 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/stats.py                                              | Python           |        121 |          7 |         30 |        158 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/system_guide.py                                       | Python           |        113 |          3 |         19 |        135 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/test.py                                               | Python           |          3 |          9 |          2 |         14 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/testEmbed.py                                          | Python           |        185 |         76 |         59 |        320 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/utils.py                                              | Python           |         41 |         10 |         11 |         62 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/vector_processing/embedding_service.py                | Python           |         88 |          8 |         14 |        110 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/vector_processing/file_handler.py                     | Python           |         40 |          3 |          6 |         49 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/vector_processing/file_processing.py                  | Python           |         25 |          3 |          8 |         36 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/vector_processing/retrieval.py                        | Python           |         45 |          1 |          9 |         55 |
| Total                                                                                                        |                  |      5,165 |        795 |      1,303 |      7,263 |
+--------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
