"filename", "language", "JavaScript", "CSS", "XML", "vue", "JSON", "HTML", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/LandingPageComponents/FeatureGrid.vue", "vue", 0, 0, 0, 266, 0, 0, 0, 0, 0, 10, 276
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/LandingPageComponents/FeaturesComponent.vue", "vue", 0, 0, 0, 129, 0, 0, 0, 0, 0, 15, 144
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/LandingPageComponents/SharedContent.vue", "vue", 0, 0, 0, 84, 0, 0, 0, 0, 0, 7, 91
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/TermsAndPoliciesPage.vue", "vue", 0, 0, 0, 265, 0, 0, 0, 0, 3, 22, 290
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/Creation/CyclingContentButton.vue", "vue", 0, 0, 0, 136, 0, 0, 0, 0, 2, 12, 150
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/Creation/LibraryBrowser.vue", "vue", 0, 0, 0, 84, 0, 0, 0, 0, 0, 5, 89
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/Creation/LibraryButton.vue", "vue", 0, 0, 0, 80, 0, 0, 0, 0, 0, 12, 92
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/Creation/LibraryCarousel.vue", "vue", 0, 0, 0, 363, 0, 0, 0, 0, 7, 40, 410
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/Creation/LibraryCreator.vue", "vue", 0, 0, 0, 516, 0, 0, 0, 0, 6, 56, 578
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/LeaderBoard.vue", "vue", 0, 0, 0, 242, 0, 0, 0, 0, 0, 21, 263
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/FactoidComponent.vue", "vue", 0, 0, 0, 79, 0, 0, 0, 0, 1, 8, 88
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/GamePage.vue", "vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 9, 43
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/GameStart.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 199, 1, 200
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/GameToolbar.vue", "vue", 0, 0, 0, 147, 0, 0, 0, 0, 21, 20, 188
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/GameWindow.vue", "vue", 0, 0, 0, 56, 0, 0, 0, 0, 1, 11, 68
"/Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Game/NewGame/LibraryCompletion.vue", "vue", 0, 0, 0, 429, 0, 0, 0, 0, 9, 37, 475
