Date : 2025-03-14 23:17:35
Directory : /Users/willgunter/projects/Gamefied-Study-Tool/frontend
Total : 94 files,  25746 codes, 614 comments, 1307 blanks, all 27667 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Backstage/404.vue                                  | vue                |         71 |          0 |         11 |         82 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Backstage/LoadingComponent.vue                     | vue                |         68 |          0 |         13 |         81 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Backstage/MapPage.vue                              | vue                |         69 |          0 |         10 |         79 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Backstage/MentorSelection.vue                      | vue                |        208 |          0 |         29 |        237 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Backstage/ProgressPage.vue                         | vue                |        250 |          1 |         20 |        271 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Backstage/SettingsPage.vue                         | vue                |        198 |         46 |         16 |        260 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Chat/ActionMenu.vue                                | vue                |         51 |          1 |          5 |         57 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Chat/ChatComponent.vue                             | vue                |         92 |          1 |         14 |        107 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Chat/ChatConversation.vue                          | vue                |        293 |          1 |         35 |        329 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Chat/CompleteButton.vue                            | vue                |        408 |          7 |         36 |        451 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Chat/ContentButton.vue                             | vue                |        100 |          4 |          7 |        111 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Chat/MessageInput.vue                              | vue                |        317 |          1 |         29 |        347 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Chat/QuizComponent.vue                             | vue                |        371 |          0 |         29 |        400 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/BottomBar.vue                               | vue                |         88 |         52 |         11 |        151 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/ContactPage.vue                             | vue                |        146 |          1 |         14 |        161 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/HomePage.vue                                | vue                |        548 |          1 |         88 |        637 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/LandingPageComponents/CtaButton.vue         | vue                |         83 |          0 |         11 |         94 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/LandingPageComponents/FaqComponent.vue      | vue                |        175 |          0 |         13 |        188 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/LandingPageComponents/FeatureGrid.vue       | vue                |        266 |          0 |         10 |        276 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/LandingPageComponents/FeaturesComponent.vue | vue                |        129 |          0 |         15 |        144 |
| /Users/willgunter/projects/Gamefied-Study-Tool/frontend/src/components/Footer/LandingPageComponents/SharedContent.vue     | vue                |         84 |          0 |          7 |         91 |
